emotions,categories,count,duplicates,Main category,
aggressive,1,1,1,ANGRY,1
annoyed,1,2,1,ANGRY,1
enraged,1,3,1,ANGRY,1
hateful,1,4,1,ANGRY,1
hostile,1,5,1,ANGRY,1
indignant,1,6,1,ANGRY,1
infuriated,1,7,1,ANGRY,1
pissed,1,8,1,ANGRY,1
irritated,1,9,1,ANGRY,1
insulted,1,10,1,ANGRY,1
provoked,1,11,1,ANGRY,1
offensive,1,12,1,ANGRY,1
a sense of loss,2,1,1,DEPRESSED,1
terrible,2,2,1,DEPRESSED,1
pessimistic,2,3,1,DEPRESSED,1
gloomy,2,4,1,DEPRESSED,1
diminished,2,5,1,DEPRESSED,1
discouraged,2,6,1,DEPRESSED,1
beaten,2,7,1,DEPRESSED,1
guilty,2,8,1,DEPRESSED,1
lousy,2,9,1,DEPRESSED,1
miserable,2,10,1,DEPRESSED,1
powerless,2,11,1,DEPRESSED,1
dissatisfied,2,12,1,DEPRESSED,1
disbelief,3,1,1,CONFUSED,1
shocked,3,2,1,CONFUSED,1
unsure,3,3,1,CONFUSED,1
disoriented,3,4,1,CONFUSED,1
lost,3,5,1,CONFUSED,1
perplexed,3,6,1,CONFUSED,1
skeptical,3,7,1,CONFUSED,1
indecisive,3,8,1,CONFUSED,1
uncertain,3,9,1,CONFUSED,1
uneasy,3,10,1,CONFUSED,1
suspicious,3,11,1,CONFUSED,1
embarrassed,3,12,1,CONFUSED,1
alone,4,1,1,HELPLESS,1
despair,4,2,1,HELPLESS,1
not in control,4,3,1,HELPLESS,1
dominated,4,4,1,HELPLESS,1
fatigued,4,5,1,HELPLESS,1
forced,4,6,1,HELPLESS,1
frustrated,4,7,1,HELPLESS,1
incapable,4,8,1,HELPLESS,1
pathetic,4,9,1,HELPLESS,1
desperate,4,10,1,HELPLESS,1
distressed,4,11,1,HELPLESS,1
useless,4,12,1,HELPLESS,1
bored,5,1,1,INDIFFERENT,1
apathetic,5,2,1,INDIFFERENT,1
disinterested,5,3,1,INDIFFERENT,1
dull,5,4,1,INDIFFERENT,1
lifeless,5,5,1,INDIFFERENT,1
neutral,5,6,1,INDIFFERENT,1
nonchalant,5,7,1,INDIFFERENT,1
weary,5,8,1,INDIFFERENT,1
blasé,5,9,1,INDIFFERENT,1
detached,5,10,1,INDIFFERENT,1
distant,5,11,1,INDIFFERENT,1
cold,5,12,1,INDIFFERENT,1
cowardly,6,1,1,AFRAID,1
frightened,6,2,1,AFRAID,1
menaced,6,3,1,AFRAID,1
nervous,6,4,1,AFRAID,1
panic,6,5,1,AFRAID,1
quaking,6,6,1,AFRAID,1
restless,6,7,1,AFRAID,1
scared,6,8,1,AFRAID,1
tense,6,9,1,AFRAID,1
terrified,6,10,1,AFRAID,1
threatened,6,11,1,AFRAID,1
worried,6,12,1,AFRAID,1
afflicted,7,1,1,HURT,1
alienated,7,2,1,HURT,1
victimized,7,3,1,HURT,1
crushed,7,4,1,HURT,1
dejected,7,5,1,HURT,1
wronged,7,6,1,HURT,1
disappointed,7,7,1,HURT,1
offended,7,8,1,HURT,1
sore,7,9,1,HURT,1
tormented,7,10,1,HURT,1
tortured,7,11,1,HURT,1
appalled,7,12,1,HURT,1
desolate,8,1,1,SAD,1
upset,8,2,1,SAD,1
grief,8,3,1,SAD,1
grieved,8,4,1,SAD,1
lonely,8,5,1,SAD,1
mournful,8,6,1,SAD,1
heartbroken,8,7,1,SAD,1
sorrowful,8,8,1,SAD,1
down,8,9,1,SAD,1
bitter,8,10,1,SAD,1
tearful,8,11,1,SAD,1
unpleasant,8,12,1,SAD,1
understanding,9,1,1,WELCOMING,2
